Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,percentN,NDVI_June,NDWI_June,EVI_June,SAVI_June,BSI_June,NDPI_June,NDGI_June,NDVI_Sept,NDWI_Sept,EVI_Sept,SAVI_Sept,BSI_Sept,NDPI_Sept,NDGI_Sept,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDPI,dNDSI,dNDGI,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Active_growth_days,Minimum_temperature,Maximum_temperature,SRad,Shallow_Clay,Deep_Clay,Shallow_Sand,Deep_Sand,Shallow_Hydra_Conduc,Deep_Hydra_Conduc,Lithology,Organic_Matter
McReynolds,M11,2016-08-09,39.95906099,-120.48712,17.62138323,1.406933689,4.640969512,7.973552747,,0.7258150196510773,0.3163305247131667,0.480565737437934,0.4536799484776716,-0.2468561391374141,0.6659109236789743,0.4824195470363058,0.44645645380324217,-0.0572377108484597,0.2551063859838893,0.2624847370293745,0.1114654059260035,0.3251261423146899,0.1620665486734299,7.656857916181417,12.808437726546329,14.258952610539597,56.33462229318712,40.93650123993918,22.72313246257117,118.30982621207826,33.90039979668278,73.92512034957473,73.09488286652743,-18.598449240695736,102.954561709167,-101.5384412605789,64.4036421471377,792.1,1658.1087646484375,321.6,848,0.6999868442971952,0,787,90,0,113,273.8529663085937,288.7977600097656,29512.1962890625,21.182844161987305,23.08788108825684,45.559226989746094,44.137996673583984,2.6707547757253765,1.7480716291982492,19,1.2922460819741932
McReynolds,M4,2016-08-09,39.95659696,-120.496731,4.355089526,0.438689232,3.988009217,1.236153233,,0.6490935011843478,0.3280739142553678,0.2798648634661068,0.2787406273530339,-0.2442227712874179,0.6079672992680507,0.4096172186377921,0.5072548293068518,0.0808714843900967,0.2143436641512186,0.2219548118707725,-0.0132688802874249,0.4206021276539671,0.2386304104321759,5.334489327445652,9.160494568614128,9.125231722146737,39.47869258831521,25.889404008152173,14.103099983016303,120.4623446357524,41.66499531131217,58.65018754128543,59.37084544714821,-26.183003100157947,107.16048472334528,-89.53947363337744,69.21218602663943,784.8000000000001,1652.5491943359375,326.70000000000005,920,1.053828177421604,0,802,104,0,107,273.9568786621094,288.69659423828125,29513.02333068848,20.453388214111328,25.14557266235352,52.34175109863281,45.7231330871582,2.660533060030528,0.8682018613789124,8,1.2288279382031104
McReynolds,M5,2016-08-09,39.96023596,-120.488891,5.024347546,0.563543135,2.320484756,1.362092808,,0.47168644681359134,0.0028660125608224,0.2937740554486813,0.290530287573729,0.0521707552106023,0.3498347883697418,0.1996966676330096,0.3040840659959867,-0.1863708936384965,0.171839129059995,0.1786559279359956,0.2142092475241269,0.1513554816263412,0.054179958785502,10.786453933456263,16.312168282802794,20.352334732725154,51.753951377976186,52.0006918281897,32.55260762153856,89.82570260069713,0.755547292613926,55.84670981136852,55.38477811513971,12.381520630897024,68.97454990100225,-104.9798832690892,35.034432576122825,792.3000000000001,1657.646240234375,321.90000000000003,1221,4.588398016377532,0,788,92,0,98,273.87664794921875,288.7747802734375,29517.36651611328,15.719149589538574,30.83310890197754,56.00764083862305,33.93447494506836,3.6287092039004367,0.4199339196371933,19,1.2053944867561932
McReynolds,M7,2016-08-09,39.960616,-120.488743,13.54147056,1.20844892,4.920826971,4.483869644,,0.6899440872026917,0.2730156934657031,0.4137726580677839,0.4020572469914823,-0.200657096502841,0.6214865462802873,0.4367030285084883,0.506310875523759,0.0521202988557488,0.2487539503743923,0.255906957159656,0.0125728775227097,0.4137450042055545,0.2277705711038043,6.009076054651914,10.339139212085922,11.152755737894667,43.47664159406703,29.85432749648033,16.41671298140528,116.63693306361192,38.88989206030449,60.35200995486967,61.56167926783182,-20.699282927486,104.5084730015378,-93.20429973033792,61.599472532840025,792.6,1655.735107421875,321.6,1242,4.442693487316404,0,787,93,0,125,273.8730773925781,288.7781982421875,29517.868270874023,14.874308586120604,19.451154708862305,58.62864303588867,53.887474060058594,4.600282023316606,1.5069542903817714,19,1.1126561131430224
McReynolds,M9,2016-08-09,39.95863896,-120.487278,15.05175886,1.265052277,10.29642231,5.88275244,,0.6472945784211184,0.2032116736097718,0.4496866197020218,0.425259003651327,-0.1419087866951344,0.5661834278196144,0.3976992485519058,0.33595514991617703,-0.1628139097470756,0.2031956763657213,0.2139734026925836,0.2062102680956525,0.2024025430781943,0.0624057036936616,9.309960580874744,15.314023245018117,18.54862560355202,64.18572807366075,48.04358726038431,26.239300879140774,112.00983680550446,32.09354926577642,76.07975560970763,74.82912791662991,-16.060092844906404,99.73681543325684,-101.11068533004438,58.631112992888106,791.3000000000001,1658.2752685546875,321.8,766,0.6311781382533055,0,788,92,3,99,273.85552978515625,288.7952880859375,29510.69860839844,21.221893310546875,23.09258079528809,45.7467041015625,44.12017059326172,2.231772944804192,1.6732640323405878,19,1.254087754724264
Poco,PO1,2016-07-07,39.96934005,-120.5231581,7.664053632,0.533243208,4.186201143,2.678415607,,0.6710822509346606,0.255488678889495,0.425743727256635,0.4012470448906333,-0.1838394098700712,0.6005907090087512,0.4146104788959774,0.48573310816675397,0.0206824944023539,0.2764545239255014,0.2814657838575277,0.0441050661190736,0.387068484582549,0.1970846968284982,6.867878454349079,11.930237101926522,12.16536354891513,52.85111615234575,33.07001795418907,17.75571323628712,128.86453138999434,49.063372385557216,73.87661899046483,73.32299481850703,-30.796288563039223,116.30371902393976,-93.80643776273544,74.09480525964554,781.9000000000001,1644.1212158203125,333.20000000000005,1115,5.567179650876966,0,813,92,0,150,274.3528137207031,288.41851806640625,29583.68455505371,17.116600036621094,23.468568801879883,54.728492736816406,49.55075073242188,2.5799969134565126,0.5156440500798325,5,1.1496922554568567
Poco,PO10,2016-07-07,39.97230976,-120.5282042,6.450532828,0.499849084,1.008652921,2.644587503,,0.7057663644776684,0.2640277160142654,0.4593207833251798,0.4334792221612434,-0.1979444555087474,0.6225981269259622,0.4611383263685688,0.6119248350643774,0.1741522862074909,0.3487228082934241,0.3497040887337755,-0.0941636598391353,0.5380317577589877,0.3338677070386536,5.436209647058822,10.691682773065477,8.647110634016105,56.994547520133054,30.999888491158963,16.138022562281165,142.68964715333246,53.6412129644487,87.99601349300474,84.41962324981456,-39.74009691422869,125.48662885852497,-98.6695281335488,94.85371468388736,779.6,1639.3067626953125,334.8,1214,0.4216863682219363,0,815,77,0,172,274.4750671386719,288.3985595703125,29599.28915405273,19.328876495361328,22.95579719543457,49.28337097167969,45.94103240966797,2.5685343217271943,1.102948114479084,5,1.2298568187186365
Poco,PO11,2016-07-07,39.97209133,-120.5279566,4.554110268,0.34216377,1.684975112,2.058063975,,0.6998068263746474,0.2549267027509834,0.4803001822476618,0.4518423715938337,-0.18850888163086,0.6120065740928584,0.4543076943582723,0.612881031978809,0.1432082855520364,0.3674118376112154,0.3684219169109287,-0.0666469295370713,0.5202182601587754,0.3309104866744051,5.739035441220239,11.76931388169643,9.767591377976188,63.79296265848214,33.74077614955358,17.614235185267862,145.97923679751457,58.96210652453452,94.96921227740955,90.59371495008966,-41.8100310033642,129.88072463288626,-98.96331368895578,96.43889621244313,779.4000000000001,1639.5203857421875,334.90000000000003,1127,0.4842661494232195,0,815,64,2,175,274.4735717773437,288.39794921875,29598.34463500977,19.638954162597656,22.74137687683105,50.629207611083984,45.57697296142578,2.415540819695116,0.8377923218455042,5,1.3542551657040751
Poco,PO3,2016-07-07,39.96953015,-120.5237733,7.998668129,0.524859582,0.874554556,3.063692882,,0.5595410785199619,0.1640561801167012,0.2989053809355736,0.2914648614464072,-0.0992068477874993,0.4837000511630119,0.315143476452862,0.44580360471903663,-0.0069972355833569,0.2391632856402172,0.2479231031477294,0.0708120980551721,0.3385138963538155,0.1722910340309532,6.441321745407705,11.41018146753392,11.487335437964031,49.48576871694189,32.090613201868926,17.099432785554278,126.16412412136992,45.33124343074506,70.46657722736089,70.41717090067976,-27.90090543396959,114.29399395191123,-93.69524257431011,72.70377194472178,781.2,1640.6595458984375,333.40000000000003,903,1.1400573923883257,0,813,92,0,142,274.3680419921875,288.4147033691406,29584.465530395508,18.26475143432617,24.2783260345459,51.183712005615234,43.525390625,2.8359222933386654,0.8524087706697393,5,1.3442431795302745
Poco,PO5,2016-07-07,39.96969561,-120.5233141,6.941850828,0.517813565,6.564989537,3.060401068,,0.6711229715575424,0.2243708052680676,0.4615578825559059,0.429367960039049,-0.1604203311830217,0.5875523329090668,0.4167542133665354,0.36519944456190767,-0.0978927342439063,0.2251798849250589,0.2359317418901319,0.1548598009314507,0.2684685807205613,0.0863056815455323,8.91943435853495,15.107541961037509,17.29809447455837,64.33489688333657,43.46393735047043,22.99091471948604,120.57998066607114,43.32674421106242,80.69597895774974,78.8096704937611,-25.1570799850317,110.8214697619851,-97.90266280503656,66.54619480806298,782.1,1643.473388671875,333.1,985,6.095625025078147,0,813,93,0,121,274.3531494140625,288.418701171875,29584.313079833984,19.5964469909668,29.356618881225582,48.69649505615234,37.61310577392578,1.4157698574539237,0.7591688600754755,5,0.8750341940426031
Poco,PO6,2016-07-07,39.96957659,-120.5230065,6.022418827,0.589221451,8.197491375,2.696943943,,0.7062147881558335,0.2786401137540524,0.4982727035056594,0.4587190090007643,-0.2123826164453874,0.6377516684082479,0.4562543405922372,0.37793435630562755,-0.0891434989086563,0.2344186012786122,0.2449443055935407,0.1473494193830836,0.2798469698688184,0.0940940645669909,8.745291085509471,15.12775496652586,17.094229328084996,66.52362539580133,42.75721175459229,22.38213014180108,125.4915333149754,49.96555004811714,83.99368193455123,82.17273949622907,-30.937354358046186,116.49196082416462,-96.13374225274391,71.24884175330345,782.5,1647.5233154296875,332.90000000000003,1075,3.112347062622209,0,812,93,0,127,274.3459167480469,288.42059326171875,29584.21083068848,21.71564102172852,29.334436416625977,47.20290756225586,38.05848693847656,1.5347538536310072,0.7369788937832248,5,0.9664942684023888
Poco,PO7,2016-07-07,39.97169059,-120.5279623,3.843319514,0.370864951,2.565360032,1.266743483,,0.621050359822251,0.1997194329858813,0.3687126410591453,0.356701155334975,-0.1289228457355533,0.5343702259434226,0.3665057202295139,0.5701224074842421,0.1206642491847181,0.3269281586091766,0.3322846183292245,-0.0411784947277656,0.4823878629143925,0.283184153306615,5.775960505208332,11.188884636160711,9.654702776785715,56.62135241741072,31.26184874404761,16.781627567708327,138.54325792056682,55.4340892632202,84.75350541635827,82.05543366506888,-39.077883154095375,123.10856470219876,-93.49132708213024,89.371054198926,779.0,1639.994384765625,335.3,946,1.038755658829233,0,815,76,1,166,274.4706115722656,288.396728515625,29596.455673217773,23.44597053527832,26.131505966186523,46.13856506347656,41.81144714355469,1.6190845870628825,0.6839340471848153,5,1.234625599518694
Poco,PO9,2016-07-07,39.97208613,-120.5284366,6.654946254,0.585012565,2.01147548,2.124192548,,0.5926642925085582,0.1637556710021238,0.3727100291545928,0.3590200572424875,-0.0913767939134262,0.4953270061811856,0.3266285357504335,0.5416250297832003,0.0818046248409647,0.3163028120959431,0.32136919813172,-0.0064615473610441,0.443428991619531,0.2550305433207532,6.399504732142856,12.219294113095238,11.209537245535714,59.37482550669644,34.835873102678576,19.661468796130958,133.6776909381357,49.028749737862086,84.94140670963962,82.58910016619859,-32.45167596145981,116.52586330531096,-97.22187242059366,81.87556571530186,779.4000000000001,1639.8526611328125,334.90000000000003,1121,0.7071971866022744,0,815,86,0,168,274.4735717773437,288.39794921875,29598.34463500977,19.638954162597656,27.60369110107422,50.629207611083984,39.45251083374024,2.415540819695116,0.6237390540786528,5,1.3542551657040751
Upper Clarks,UC1,2016-08-04,40.12896904,-120.503472,11.25044291,0.823254369,6.634953901,4.870800774,,0.7046596859605697,0.2760904581646285,0.468303473224895,0.4429024215876728,-0.2043310789530273,0.6329018847700842,0.4535700887165632,0.39571036992118985,-0.1129079605283102,0.2305983377030125,0.2389520400440922,0.1578776881697114,0.2584221301331083,0.1145572695578802,10.274459464285712,17.157366369047615,19.33602857886905,68.50629130208335,50.19561412202381,28.380710647321436,133.61815321733178,39.31849542228117,84.5601667219685,84.1142816345179,-18.81939002916449,116.55566870655323,-114.88451847183468,71.1780312539087,824.4000000000001,1687.483642578125,294.40000000000003,135,3.501925088336717,0,687,88,0,129,276.2069396972656,287.8383178710937,29877.79978942871,16.00690460205078,22.06325912475586,50.71343994140625,44.695838928222656,2.590045530091971,2.2834510469714404,5,1.1977701050899408
Upper Clarks,UC10,2016-08-04,40.13574597,-120.508032,12.09169661,0.956426421,10.79783359,4.349239117,,0.7416477076080336,0.3180932545576372,0.4822476308162056,0.4576707796545946,-0.2484820439579696,0.6695171997948143,0.5023219034148688,0.494326773270849,-0.043050029616302,0.2889993923842506,0.296290423193737,0.0964387225131305,0.3525036286258831,0.1958704023467749,8.795980923321704,15.35825392090833,16.664184870530846,66.5725800075205,48.22060405929284,26.923657013655838,139.39144431373973,39.49485392205308,86.7525377953713,86.10007228893996,-19.710477456199325,120.1030226910224,-117.557876775428,75.27095885517292,822.9000000000001,1693.0780029296875,295.8,147,0.8018022323619661,0,685,84,0,148,276.2937927246094,287.7793273925781,29877.400802612305,17.790485382080078,22.593658447265625,43.39558410644531,37.5745849609375,2.707660874695164,1.378114244463033,5,1.1132623979181635
Upper Clarks,UC11,2016-08-04,40.135764,-120.508365,11.82362349,1.034946079,11.31673596,4.145340908,,0.7350358065514465,0.3057977533310104,0.4775786822351608,0.4511986038372862,-0.2379657866623011,0.6678026507854681,0.4919697035771537,0.4682718783413419,-0.0763567994857519,0.2699000478465477,0.2780217143089626,0.1242319927124353,0.3272740224732055,0.1752823352265605,9.586612702061624,15.57876870561803,17.204540087736053,64.4274071652725,47.9449667539853,26.69810337731354,134.99529136996756,36.88258777586323,82.28502103357539,82.05851719162345,-18.00260231139859,116.37426815488728,-116.98002857883296,72.84179174854951,822.8000000000001,1693.5338134765625,295.8,126,0.9103491684400687,0,685,87,0,142,276.2899169921875,287.78094482421875,29877.47605895996,17.790485382080078,22.593658447265625,43.39558410644531,37.5745849609375,2.707660874695164,1.378114244463033,5,1.1132623979181635
Upper Clarks,UC4,2016-08-04,40.12885303,-120.503759,7.156007254,0.702811883,4.955809153,2.260808689,,0.7441521991524966,0.336589018422405,0.4939863495285164,0.4625319062869371,-0.2651835258753958,0.6853429659296012,0.5092292403573673,0.517943349171566,0.0012318122683072,0.3079385959838133,0.3096325920771248,0.0550709803235277,0.3925843693957662,0.2236591227298561,8.401222931547618,14.612923422619046,15.021650029761906,63.97154723214287,44.77379019345239,24.48510177083333,141.87802307127015,41.70626627989955,87.53300636108276,86.18393532998263,-23.31433785669248,122.90451280612804,-115.36528662045716,80.48305122254321,824.4000000000001,1686.974853515625,294.5,140,3.315255936792868,0,687,91,0,152,276.2027282714844,287.8401794433594,29877.91780090332,15.690848350524902,22.50565719604492,51.02262115478516,39.494876861572266,3.210425017352982,1.58359319489286,5,1.151010481777122
Upper Clarks,UC6,2016-08-04,40.13476001,-120.506502,10.69491919,0.804331356,7.771874824,4.495976926,,0.7017484245527904,0.2504653591912495,0.475003208988327,0.4478291445222158,-0.1835354716817261,0.6157221850941444,0.4452375834805269,0.3975804818433325,-0.1236791813942686,0.2179596696238521,0.2257996066227655,0.1625023741286554,0.2483182648617166,0.1201420112581595,12.429567116967483,18.98022860765489,21.425704285378263,68.54180502707374,55.77325007893306,32.61845261808756,125.65997766793876,22.532760783570023,81.05633657445625,80.2324217112575,-5.7608731901509245,103.43686029316363,-121.37114484906796,63.28317105904308,823.0,1694.729736328125,295.5,230,2.9464506981908976,0,687,84,0,123,276.2926025390625,287.7826538085937,29877.309616088867,13.050682067871094,21.10120391845703,59.15069580078125,41.662864685058594,5.187635531566606,1.695464834926176,5,1.3469492828100598
Upper Clarks,UC7,2016-08-04,40.13472598,-120.506871,7.475499641,0.549624059,9.246956843,2.78552708,,0.7216619260386784,0.3101759172460138,0.4320700418506978,0.4136088540559642,-0.2409521893189714,0.6566008870320089,0.4749426947168439,0.4349166368547264,-0.0833221458346171,0.2360521445750873,0.2467644471385012,0.1342882757841569,0.3069477224683392,0.1479866526711416,9.716020512096776,15.512462395161291,17.476695854166664,61.05907722446239,47.01879616565861,26.17976986055108,129.76547518010204,31.01601246663934,77.07471662085857,77.76471579377413,-13.730793620601023,111.26945287118927,-117.94987890139996,68.50572566727088,823.0,1693.3038330078125,295.40000000000003,209,2.6276620618451534,0,687,85,0,122,276.2870178222656,287.7859191894531,29877.38005065918,16.745567321777344,22.593658447265625,46.8021354675293,37.5745849609375,3.1093096843987293,1.378114244463033,5,1.1653633268793069
